OBJECTID,PERIMETER,POLYID,SNBNAME,GLOBALID,cohgisCOHGISSNBRAREA,cohgisCOHGISSNBRLEN,COUNCIL_ACTIVE,RECOGNITION_DATE,SnbrInfoURL,WeCan,Top10,CEA_FLAG,Shapearea,Shapelen
1,16572.025,60,FOURTH WARD,{EDCA8617-F41A-4E57-8138-02BFCD50E562},0,0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,12969824.7663386,16572.0260242156
2,43118.77,63,SECOND WARD,{C63DC59F-5080-4032-A84F-1660573E8BAA},0,0,Yes,2008-05-13T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,80404724.0182169,43118.7700162024
3,39256.388,61,DOWNTOWN,{F179E140-1B23-4A05-87A3-6BBBE0E510FF},0,0,,,http://www.houstontx.gov/superneighborhoods/61.html,,,N,75500230.2820646,39256.3874910428
4,59784.698,59,CLINTON PARK TRI-COMMUNITY,{F9FD0790-5903-444B-8485-8A18A7C14755},0,0,Yes,2000-11-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,76553521.3156483,59784.6977286364
5,75759.39,21,GREATER UPTOWN,{5E8656DA-5291-4C40-B7D9-0C8D7F3A2D27},0,0,,,http://www.houstontx.gov/superneighborhoods/21.html,,,N,229792131.737789,75759.3901416102
6,113669.041,5,GREATER INWOOD,{7C7D5DC3-C492-4EDA-B6B3-EB8286962D21},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/5.html,,,Y,186495701.005059,113669.03852117
7,637.881,78,GREATER HOBBY AREA,{5FDAED41-81EB-4AD2-9EA1-651A4FD788BB},0,0,,,http://www.houstontx.gov/superneighborhoods/78.html,,,Y,336733354.505577,86821.2010024998
8,60053.707,73,GOLFCREST / BELLFORT / REVEILLE,{41F14B80-1DE2-4919-A207-70AA136FB4A4},0,0,Yes,2001-03-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/73.html,,,Y,256543887.366966,71257.9168759681
10,212370.594,17,ELDRIDGE / WEST OAKS,{74DDE19A-FF7B-4EB1-AD85-A9DFA94E5AA3},0,0,Yes,2010-12-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/17.html,,,N,819529793.950682,212370.594451681
11,88194.439,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,{BFB257BC-6F9D-4FA0-86AC-F55FBE331043},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/22.html,,,N,223442409.86051,87772.0127998704
12,55192.156,55,GREATER FIFTH WARD,{1AEF465D-52B2-40F7-9F18-2B48D354E0B0},0,0,Yes,2000-11-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/55.html,Y,Y,Y,139063480.110129,55192.1554573861
13,80879.515,56,DENVER HARBOR / PORT HOUSTON,{D79C06DF-362A-41B0-ABD2-8367A593EF08},0,0,No,2001-06-05T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/56.html,Y,,Y,178184840.219475,80879.5149768643
14,47322.95,57,PLEASANTVILLE AREA,{035379A7-8A1E-4B58-81D8-A30AE5A1F47A},0,0,Yes,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/57.html,,,Y,98739353.1169878,47322.9494180581
15,110804.437,58,NORTHSHORE,{986B6FBF-49BD-4FE9-948F-E3DDE7DF0C71},0,0,,,http://www.houstontx.gov/superneighborhoods/58.html,,,Y,258453761.418713,110804.435564461
16,47186.948,14,LAZYBROOK / TIMBERGROVE,{0A4D3296-C7FC-4ABA-903A-D6DD2BC1C144},0,0,,,http://www.houstontx.gov/superneighborhoods/14.html,,,N,97945644.4252288,46765.5020934886
17,67130.734,15,GREATER HEIGHTS,{C0D20A1E-08B5-43D8-B3CA-CCBC16D7DE6E},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/15.html,,,N,203950304.32412,67129.6972416207
18,52352.042,52,KASHMERE GARDENS,{1D86027C-6278-41CE-8C7E-BF565E29E49D},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/52.html,Y,,Y,112454830.781292,52352.0412893429
19,80038.578,77,MINNETEX,{D7CC7B1C-40A8-48DB-A2F5-16E48F239BF4},0,0,Yes,2001-03-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/77.html,Y,,Y,233521115.141938,80038.5748832877
20,50141.033,51,NEAR NORTHSIDE,{EDE94456-B705-48B1-B20B-D2F0AB81FEB6},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/51.html,Y,,Y,121049843.673192,50141.0330291308
21,57962.346,86,SPRING BRANCH EAST,{BF33B04B-EA48-4894-ACC9-67A2DEAB4E46},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/86.html,,,Y,170423337.243467,57962.3454709368
23,43303.814,84,SPRING BRANCH NORTH,{58F33F81-96C3-41F7-ABDF-81440FDF7214},0,0,Yes,2005-03-14T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/84.html,,,N,94155257.9083625,43303.8136657446
24,57859.757,53,EL DORADO / OATES PRAIRIE,{C1E48D00-7B2E-4EAB-97C5-9B76C5BB80BE},0,0,,,http://www.houstontx.gov/superneighborhoods/53.html,,,Y,125467377.996061,57859.7563782091
25,57315.513,85,SPRING BRANCH CENTRAL,{854154D9-04C2-4837-AB3D-35A29E324CD0},0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/85.html,,,Y,104210435.848597,57315.5130709782
26,30493.459,54,HUNTERWOOD,{09798540-A5C8-44D8-A087-21D573750F0A},0,0,,,http://www.houstontx.gov/superneighborhoods/54.html,,,N,36742423.1691842,30493.4593093462
27,33779.628,50,SETTEGAST,{8D9CB173-8448-41A1-899F-38A8066D2C9B},0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/50.html,Y,,Y,55691109.7515329,33779.6281721953
28,33997.809,11,LANGWOOD,{A05B0BCF-499B-45EC-9AEB-DE4A76BAA835},0,0,,,http://www.houstontx.gov/superneighborhoods/11.html,,,Y,35068922.007838,33997.8084243794
29,42365.115,13,INDEPENDENCE HEIGHTS,{4BE1C1A8-267A-4129-A91E-DD04AA2ABCFB},0,0,Yes,2001-06-05T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/13.html,Y,Y,Y,95203483.0373101,42365.1149967237
30,83851.206,12,CENTRAL NORTHWEST,{E2C48580-F1E6-4116-B193-DE7870EFDF5D},0,0,Yes,2010-10-12T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/12.html,,,N,240948311.031907,83851.2071550222
31,58565.13,48,TRINITY / HOUSTON GARDENS,{A2F78C67-F42E-43A3-8F4F-C6DC109BCFE1},0,0,Yes,2001-03-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/48.html,Y,,Y,191428368.178529,58565.1309278768
32,56176.32,3,CARVERDALE,{5EDF3F30-5522-4075-80A8-A5F3BEBE07BE},0,0,No,2003-09-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/3.html,Y,,N,84019517.7169957,56176.3199920969
33,71061.565,46,EASTEX - JENSEN AREA,{A0915408-B02D-4490-9150-996EB073C367},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/46.html,Y,Y,Y,214291256.884702,71061.5642970798
34,81176.06,49,EAST HOUSTON,{60EDFAC9-1A2C-472C-A64F-C8F1F74DE81C},0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/49.html,Y,,Y,297658041.803746,81176.0591052594
35,87815.58,6,ACRES HOME,{E47FA6C8-2323-4D1C-8A22-3A40CEFED0B5},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/6.html,Y,Y,Y,249767480.460978,87815.5794152877
36,102420.982,45,NORTHSIDE/NORTHLINE,{322E97B4-156E-4B42-96DD-D88DCB6022E2},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/45.html,,Y,Y,282248882.781292,102420.982347557
37,28102.301,7,HIDDEN VALLEY,{62A8F750-1C25-4F64-964C-E46C1FCC5BB2},0,0,,,http://www.houstontx.gov/superneighborhoods/7.html,,,N,24539913.5037904,28102.3004307323
38,83347.43,47,EAST LITTLE YORK / HOMESTEAD,{8A4FE623-2EAF-4203-AFA0-AD92C87B02DC},0,0,Yes,,http://www.houstontx.gov/superneighborhoods/47.html,,,Y,192511062.176194,83347.4298847273
39,52713.975,1,WILLOWBROOK,{71CA1131-8D23-422F-9D48-C7E2F7685ACD},0,0,No,2003-09-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/1.html,,,N,84188649.0199753,52713.9738645697
40,117958.273,2,GREATER GREENSPOINT,{1A24E317-3220-4AD1-8DAE-0BBDB8BAECDB},0,0,,,http://www.houstontx.gov/superneighborhoods/2.html,,,Y,193896630.061445,117958.27199507
41,170943.477,42,IAH / AIRPORT AREA,{5A617A87-6D5B-41B8-BEF1-F3AD41A47949},0,0,Yes,2001-06-05T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/42.html,,,Y,746833913.152513,170943.476829561
42,198374.308,43,KINGWOOD AREA,{4E454231-2B15-4B69-A571-097F07B7755E},0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/43.html,,,N,835359444.188086,198374.308987224
43,429584.145,44,LAKE HOUSTON,{CAB78F53-4011-4774-95E4-9EF71274F78C},0,0,,,http://www.houstontx.gov/superneighborhoods/44.html,,,N,980436690.564067,429584.142107551
44,73300.982,4,FAIRBANKS / NORTHWEST CROSSING,{F2BCF24A-80B1-43CA-BA18-C3135C085C79},0,0,,,http://www.houstontx.gov/superneighborhoods/4.html,,,Y,192582975.907655,73300.9837295837
45,31832.84,8,WESTBRANCH,{780C83B0-B4DE-40B6-BDD0-EC7EF4F152BC},0,0,,,http://www.houstontx.gov/superneighborhoods/8.html,,,N,38491012.3112861,31832.8402649238
46,72720.943,26,SHARPSTOWN,{F25163E4-4B12-4354-ADDD-1D24158203E8},0,0,,,http://www.houstontx.gov/superneighborhoods/26.html,,,Y,238001360.411595,72893.1871315218
47,38113.022,29,WESTWOOD,{F2A0612A-8CF1-43FB-B1EE-AEECEBAF7A06},0,0,Yes,2008-09-09T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/29.html,Y,,Y,60831051.777346,38285.267086696
49,81085.41,41,FORT BEND HOUSTON,{6D8F5CF1-F214-4BEA-9E37-446B45500FEA},0,0,No,2002-06-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/41.html,,,N,210056758.075639,81085.4103044407
50,28114.627,39,FONDREN GARDENS,{F2206344-8604-4B1D-B40B-555BA94094FF},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/39.html,,,Y,33950018.9219484,28114.6267771936
51,161035.331,80,SOUTH BELT / ELLINGTON,{A4CEA578-7930-46D7-BAB3-5C90891CAA8B},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/80.html,,,N,579089005.772189,161035.331697398
52,71756.689,76,SOUTH ACRES / CRESTMONT PARK,{8936DBB2-D25A-467D-820F-4FEA0A034F42},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/76.html,,,Y,188307623.828508,71756.6891910817
53,77540.802,36,BRAYS OAKS,{04EC9077-C9B7-4A23-936F-152ED5FE7AC3},0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/36.html,,,Y,219724538.419434,77540.8022177636
54,117635.91,40,CENTRAL SOUTHWEST,{C3E7B674-01DF-4688-8788-895986B4CA8C},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/40.html,,,Y,662256514.828795,117635.910570211
55,67155.805,71,SUNNYSIDE,{721CD305-2AB9-4744-936B-48B927B6EF03},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/71.html,Y,Y,Y,176971871.718907,67155.8039417278
56,94862.716,25,ALIEF,{CA1EB5BE-F7EF-4487-A804-1E619BB15676},0,0,Yes,2000-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/25.html,Y,,Y,394121668.572161,94862.7150550161
