,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,FOURTH WARD,29.75910840105774,-95.38020398569249,Eleanor Tinsley Park,29.761439843452138,-95.37927095656195,Park
1,FOURTH WARD,29.75910840105774,-95.38020398569249,Buffalo Bayou Walk,29.76217707507068,-95.3758443895795,Trail
2,FOURTH WARD,29.75910840105774,-95.38020398569249,Cafe Poetes,29.753347633950195,-95.37977611022315,Café
3,FOURTH WARD,29.75910840105774,-95.38020398569249,Buffalo Bayou Cistern,29.762214127875062,-95.37587268470061,Public Art
4,FOURTH WARD,29.75910840105774,-95.38020398569249,Oporto Fooding House & Wine,29.75317877967546,-95.38024332235663,Portuguese Restaurant
5,FOURTH WARD,29.75910840105774,-95.38020398569249,Sam Houston Park,29.75987637162599,-95.37121094173017,Park
6,FOURTH WARD,29.75910840105774,-95.38020398569249,Paper Street Crossfit,29.757434704576944,-95.38584601613103,Gym
7,FOURTH WARD,29.75910840105774,-95.38020398569249,Buffalo Bayou Sabine Promenade,29.761701251304203,-95.37534558373238,Trail
8,FOURTH WARD,29.75910840105774,-95.38020398569249,The Fish Restaurant & Sushi Bar,29.7522488,-95.37682009999999,Sushi Restaurant
9,FOURTH WARD,29.75910840105774,-95.38020398569249,Lucio's BYOB,29.758326234820654,-95.3855912196119,Bar
10,FOURTH WARD,29.75910840105774,-95.38020398569249,Houston Police Officer Memorial,29.762893145010178,-95.38307728210378,Sculpture Garden
11,FOURTH WARD,29.75910840105774,-95.38020398569249,Julep,29.767723245110254,-95.37808149627601,Cocktail Bar
12,FOURTH WARD,29.75910840105774,-95.38020398569249,Catalina Coffee,29.76796751585579,-95.38066158525321,Coffee Shop
13,FOURTH WARD,29.75910840105774,-95.38020398569249,Barnaby's Cafe,29.753469773586943,-95.38701944025732,American Restaurant
14,FOURTH WARD,29.75910840105774,-95.38020398569249,Gus's World Famous Fried Chicken,29.76754178698509,-95.37647298437194,Fried Chicken Joint
15,FOURTH WARD,29.75910840105774,-95.38020398569249,Hobby Center for the Performing Arts,29.761525580635887,-95.36937625723134,Performing Arts Venue
16,FOURTH WARD,29.75910840105774,-95.38020398569249,Which Wich? Superior Sandwiches,29.750874586286542,-95.37539929400863,Sandwich Place
17,FOURTH WARD,29.75910840105774,-95.38020398569249,Izakaya,29.75189885746197,-95.37684074340048,Japanese Restaurant
18,FOURTH WARD,29.75910840105774,-95.38020398569249,Buffalo Bayou Park,29.762067618759165,-95.39162635803223,Park
19,FOURTH WARD,29.75910840105774,-95.38020398569249,Michael Saldana Salon,29.752018743519077,-95.38120808843978,Cosmetics Shop
20,FOURTH WARD,29.75910840105774,-95.38020398569249,Little Woodrow's,29.749883911688073,-95.37730396211548,Bar
21,FOURTH WARD,29.75910840105774,-95.38020398569249,The Waffle Bus,29.750058154448265,-95.37696578993122,Food Truck
22,FOURTH WARD,29.75910840105774,-95.38020398569249,"Spec's Wines, Spirits & Finer Foods",29.748694497268623,-95.37694865555139,Liquor Store
23,FOURTH WARD,29.75910840105774,-95.38020398569249,B & B Butchers,29.7679328511035,-95.37649373864984,Steakhouse
24,FOURTH WARD,29.75910840105774,-95.38020398569249,Theatre Under The Stars,29.761486842951108,-95.37006806125714,Theater
25,FOURTH WARD,29.75910840105774,-95.38020398569249,District 7 Grill,29.752061809408502,-95.3750295551977,American Restaurant
26,FOURTH WARD,29.75910840105774,-95.38020398569249,Gyu-Kaku Japanese BBQ,29.750746889560354,-95.37527488180287,BBQ Joint
27,FOURTH WARD,29.75910840105774,-95.38020398569249,Tellepsen Family Downtown YMCA,29.75206763492666,-95.37067882615852,Gym
28,FOURTH WARD,29.75910840105774,-95.38020398569249,The Downtown Club at the Met,29.7576477,-95.3735887,Gym
29,FOURTH WARD,29.75910840105774,-95.38020398569249,Platypus Brewing,29.76807145,-95.37750193,Brewery
30,FOURTH WARD,29.75910840105774,-95.38020398569249,Tacodeli,29.767928336768136,-95.37733275519363,Taco Place
31,FOURTH WARD,29.75910840105774,-95.38020398569249,Lankford's Grocery & Market,29.75019174733704,-95.38389486639035,Burger Joint
32,FOURTH WARD,29.75910840105774,-95.38020398569249,Shell Shack - Houston,29.76776740506461,-95.38266777992249,Seafood Restaurant
33,FOURTH WARD,29.75910840105774,-95.38020398569249,Taqueria Barba,29.76781341611841,-95.38079926629239,Food Truck
34,FOURTH WARD,29.75910840105774,-95.38020398569249,Minuti Coffee,29.75265860985669,-95.37790966627749,Coffee Shop
35,FOURTH WARD,29.75910840105774,-95.38020398569249,Front Porch Pub,29.752643299530384,-95.37745339876889,Pub
36,FOURTH WARD,29.75910840105774,-95.38020398569249,Cuchara Restaurant,29.74829203379039,-95.38554648753308,Mexican Restaurant
37,FOURTH WARD,29.75910840105774,-95.38020398569249,Holler Brewing Co.,29.771109838389307,-95.38070849842802,Brewery
38,FOURTH WARD,29.75910840105774,-95.38020398569249,Boheme,29.748,-95.3860619,Wine Bar
39,FOURTH WARD,29.75910840105774,-95.38020398569249,City Hall Farmer's Market,29.759163880661635,-95.36844616089815,Farmers Market
40,FOURTH WARD,29.75910840105774,-95.38020398569249,Mango Tree Thai Bistro,29.7582507801515,-95.36538711279135,Thai Restaurant
41,FOURTH WARD,29.75910840105774,-95.38020398569249,Alley Theatre,29.761671455030886,-95.36531338369234,Theater
42,FOURTH WARD,29.75910840105774,-95.38020398569249,Wortham Theater Center,29.76335289300658,-95.36566257476807,Theater
