OBJECTID,POLYID,SNBNAME,COUNCIL_AC
1,60,FOURTH WARD, 
2,63,SECOND WARD,Yes
3,61,DOWNTOWN, 
4,59,CLINTON PARK TRI-COMMUNITY,Yes
5,21,GREATER UPTOWN, 
6,5,GREATER INWOOD,Yes
7,78,GREATER HOBBY AREA, 
8,73,GOLFCREST / BELLFORT / REVEILLE,Yes
10,17,ELDRIDGE / WEST OAKS,Yes
11,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,Yes
12,55,GREATER FIFTH WARD,Yes
13,56,DENVER HARBOR / PORT HOUSTON,No
14,57,PLEASANTVILLE AREA,Yes
15,58,NORTHSHORE, 
16,14,LAZYBROOK / TIMBERGROVE, 
17,15,GREATER HEIGHTS,Yes
18,52,KASHMERE GARDENS,Yes
19,77,MINNETEX,Yes
20,51,NEAR NORTHSIDE,No
21,86,SPRING BRANCH EAST,Yes
23,84,SPRING BRANCH NORTH,Yes
24,53,EL DORADO / OATES PRAIRIE, 
25,85,SPRING BRANCH CENTRAL,Yes
26,54,HUNTERWOOD, 
27,50,SETTEGAST,Yes
28,11,LANGWOOD, 
29,13,INDEPENDENCE HEIGHTS,Yes
30,12,CENTRAL NORTHWEST,Yes
31,48,TRINITY / HOUSTON GARDENS,Yes
32,3,CARVERDALE,No
33,46,EASTEX - JENSEN AREA,No
34,49,EAST HOUSTON,Yes
35,6,ACRES HOME,Yes
36,45,NORTHSIDE/NORTHLINE,No
37,7,HIDDEN VALLEY, 
38,47,EAST LITTLE YORK / HOMESTEAD,Yes
39,1,WILLOWBROOK,No
40,2,GREATER GREENSPOINT, 
41,42,IAH / AIRPORT AREA,Yes
42,43,KINGWOOD AREA,Yes
43,44,LAKE HOUSTON, 
44,4,FAIRBANKS / NORTHWEST CROSSING, 
45,8,WESTBRANCH, 
46,26,SHARPSTOWN, 
47,29,WESTWOOD,Yes
49,41,FORT BEND HOUSTON,No
50,39,FONDREN GARDENS,Yes
51,80,SOUTH BELT / ELLINGTON,No
52,76,SOUTH ACRES / CRESTMONT PARK,Yes
53,36,BRAYS OAKS,Yes
54,40,CENTRAL SOUTHWEST,Yes
55,71,SUNNYSIDE,Yes
56,25,ALIEF,Yes
57,70,PECAN PARK, 
58,81,CLEAR LAKE,Yes
59,37,WESTBURY,Yes
60,38,WILLOW MEADOWS / WILLOWBEND AREA, 
61,30,BRAEBURN,Yes
62,35,SOUTH MAIN, 
63,72,SOUTH PARK,Yes
64,34,ASTRODOME AREA, 
65,68,GREATER OST / SOUTH UNION,Yes
66,74,PARK PLACE, 
67,75,MEADOWBROOK / ALLENDALE, 
68,33,MEDICAL CENTER AREA, 
69,27,GULFTON,No
70,83,MACGREGOR,Yes
71,69,GULFGATE RIVERVIEW / PINE VALLEY, 
72,65,HARRISBURG / MANCHESTER,No
73,28,UNIVERSITY PLACE,No
74,19,WESTCHASE,Yes
75,66,MUSEUM PARK,Yes
76,88,LAWNDALE / WAYSIDE,Yes
77,87,GREENWAY / UPPER KIRBY AREA,No
78,67,GREATER THIRD WARD,Yes
79,20,MID WEST,Yes
80,64,GREATER EASTWOOD,Yes
81,62,MIDTOWN, 
82,32,BRAESWOOD, 
83,31,MEYERLAND AREA, 
84,79,EDGEBROOK AREA, 
85,82,MAGNOLIA PARK,No
86,23,AFTON OAKS / RIVER OAKS AREA,No
87,18,BRIAR FOREST,Yes
88,24,NEARTOWN - MONTROSE,Yes
9,16,MEMORIAL,Yes
22,10,SPRING BRANCH WEST,Yes
48,9,ADDICKS PARK TEN, 
